PCMC
Version: 3.0.0
Date: Mon Jan 20 20:07:51 2020
********
* PCMC * 
********
CPU MULTY CORE

Cores 2
fakeCores 2
Steps/fakeCore: 4

Regime: backwards
fakeCore: 0;	logT: 2
fakeCore: 0;	logT: 1
fakeCore: 0;	logT: 0
fakeCore: 0;	logT: -1
0	0
1	1134
2	497
3	365
4	380
5	329
6	313
7	302
8	287
9	303
10	280
11	284
12	284
13	271
14	256
15	263
16	268
17	291
18	289
19	254
20	305
21	264
22	243
23	275
24	257
25	261
26	280
27	268
28	293
29	285
30	275
31	253
32	273
33	253
34	242
35	258
36	256
37	284
38	265
39	239
40	234
41	259
42	248
43	225
44	243
45	252
46	246
47	236
48	241
49	225
50	237
51	223
52	239
53	250
54	253
55	244
56	243
57	229
58	258
59	270
60	268
61	276
62	251
63	256
64	253
65	257
66	273
67	273
68	271
69	273
70	267
71	275
72	255
73	257
74	255
75	257
76	260
77	279
78	267
79	269
80	276
81	252
82	259
83	251
84	254
85	276
86	292
87	315
88	315
89	319
90	300
91	285
92	288
93	325
94	326
95	321
96	316
97	357
98	371
99	406
100	0

Timer No. 0:	17s534ms672us301ns
fakeCore: 1;	logT: 2
fakeCore: 1;	logT: 1
fakeCore: 1;	logT: 0
fakeCore: 1;	logT: -1
Timer No. 1:	17s595ms873us350ns
END

